AIM/CGE 2.0,model,scenario,unit,,,,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,AIM/CGE 2.0,SSP1-19,USD2010/TCO2.Capita,,,,125.3563149,1165.210171,2115.343231,14182.7826,25525.03411,35935.55864,45944.09475,59736.71257,73306.50565,#DIV/0!,144518.5558,#DIV/0!,200634.1804,#DIV/0!,263412.5951,#DIV/0!,286271.3741,#DIV/0!,348575.2046
AIM/CGE 2.0,AIM/CGE 2.0,SSP1-26,USD2010/TCO2.Capita,,,,85.81471197,1127.016195,2078.380606,3301.90774,4451.907507,8561.658422,12512.71683,13012.60839,13504.42403,#DIV/0!,18487.78888,#DIV/0!,34789.06763,#DIV/0!,41885.44913,#DIV/0!,55007.53306,#DIV/0!,61596.39743
AIM/CGE 2.0,AIM/CGE 2.0,SSP1-34,USD2010/TCO2.Capita,,,,85.81471197,1128.61938,2081.44865,1510.490156,973.843181,1580.506585,2163.744497,2861.39845,3547.781551,#DIV/0!,6503.869837,#DIV/0!,9444.365856,#DIV/0!,11790.25591,#DIV/0!,14162.14789,#DIV/0!,16374.18946
AIM/CGE 2.0,AIM/CGE 2.0,SSP1-45,USD2010/TCO2.Capita,,,,85.81471197,2538.445054,4779.457249,2388.828124,141.8628845,81.38781036,23.24790001,85.51709069,146.7803001,#DIV/0!,686.0847471,#DIV/0!,1764.343981,#DIV/0!,3016.088971,#DIV/0!,4496.711557,#DIV/0!,6227.955114
AIM/CGE 2.0,AIM/CGE 2.0,SSP2-19,USD2010/TCO2.Capita,,,,349.3347917,1332.636131,2231.096144,25241.50668,46869.11594,68499.47983,89294.61628,108558.4275,127511.0249,#DIV/0!,212416.7826,#DIV/0!,271530.0832,#DIV/0!,334246.663,#DIV/0!,388213.7159,#DIV/0!,434993.6205
AIM/CGE 2.0,AIM/CGE 2.0,SSP2-26,USD2010/TCO2.Capita,,,,980.3055694,1648.963183,2252.35993,8111.641636,13510.77007,19249.1222,24646.8347,26461.40835,28201.44094,#DIV/0!,34774.9626,#DIV/0!,61941.25655,#DIV/0!,80706.71705,#DIV/0!,101502.9664,#DIV/0!,115092.2364
AIM/CGE 2.0,AIM/CGE 2.0,SSP2-34,USD2010/TCO2.Capita,,,,980.3055694,1649.319654,2253.038083,3318.23467,4299.777029,5863.370557,7334.146164,8165.783287,8963.257502,#DIV/0!,12063.21239,#DIV/0!,15448.66338,#DIV/0!,19852.03995,#DIV/0!,24665.07008,#DIV/0!,30373.43722
AIM/CGE 2.0,AIM/CGE 2.0,SSP2-45,USD2010/TCO2.Capita,,,,980.3055694,1649.774725,2253.903809,1541.620439,885.2755852,908.6239147,930.5862424,1541.079765,2126.49476,#DIV/0!,5141.432385,#DIV/0!,7911.275315,#DIV/0!,9909.736278,#DIV/0!,12023.13661,#DIV/0!,14326.77861
AIM/CGE 2.0,AIM/CGE 2.0,SSP2-60,USD2010/TCO2.Capita,,,,980.3055694,1650.844141,2255.938265,1367.954347,549.7074232,429.2913368,316.023381,312.1573303,308.4500934,#DIV/0!,469.0605639,#DIV/0!,596.5002058,#DIV/0!,855.4039535,#DIV/0!,1206.19337,#DIV/0!,1573.500981
AIM/CGE 2.0,AIM/CGE 2.0,SSP3-34,USD2010/TCO2.Capita,,,,393.7691283,1367.365547,2245.939127,7126.419735,11623.61631,13903.94432,16048.90767,19136.26244,22096.79145,#DIV/0!,29102.05254,#DIV/0!,47707.43551,#DIV/0!,73491.31683,#DIV/0!,105387.7217,#DIV/0!,142864.8156
